n_of_cases,st_add,lat,long,cluster_n,rec_cases_in_cluster,total_cases,date,month_num
1,pasir ris street 71 (block 747),1.379194,103.934693,1,1,2,170320,3
1,pasir ris street 72 (whitewater),1.380042,103.935474,1,1,2,170320,3
1,bedok north street 3 (block 533),1.333639,103.924036,1,5,6,170403,4
3,bedok north street 3 (block 534),1.3331379,103.9246468,1,5,6,170403,4
2,bedok north street 3 (block 556),1.3326072,103.9226175,1,5,6,170403,4
2,cedarwood grove,1.4282406,103.7785198,2,3,4,170403,4
1,woodlands avenue 1 (block 331),1.42946,103.778521,2,3,4,170403,4
1,woodlands street 32 (block 328),1.4300485,103.7795029,2,3,4,170403,4
1,bedok north street 3 (block 530),1.3338021,103.9269348,1,3,8,170410,4
1,bedok north street 3 (block 533),1.333639,103.924036,1,3,8,170410,4
4,bedok north street 3 (block 534),1.3331379,103.9246468,1,3,8,170410,4
2,bedok north street 3 (block 556),1.3326072,103.9226175,1,3,8,170410,4
2,cedarwood grove,1.4282406,103.7785198,2,1,5,170410,4
1,woodlands avenue 1 (block 331),1.42946,103.778521,2,1,5,170410,4
1,woodlands street 32 (block 328),1.4300485,103.7795029,2,1,5,170410,4
1,woodlands street 32 (block 329),1.430413,103.778818,2,1,5,170410,4
2,amber gardens (one amber),1.301403,103.898181,3,1,2,170410,4
1,tampines street 33 (block 341),1.351207,103.961011,4,2,2,170410,4
1,tampines street 33 (block 343),1.351945,103.961193,4,2,2,170410,4
1,yishun street 11 (block 150),1.4308674,103.8337198,5,1,2,170410,4
1,yishun street 72 (block 745),1.429351,103.83332,5,1,2,170410,4
2,bedok north street 3 (block 530),1.3338021,103.9269348,1,2,9,170417,4
1,bedok north street 3 (block 533),1.333639,103.924036,1,2,9,170417,4
4,bedok north street 3 (block 534),1.3331379,103.9246468,1,2,9,170417,4
2,bedok north street 3 (block 556),1.3326072,103.9226175,1,2,9,170417,4
1,balam road (block 31),1.3297418,103.8858016,2,1,2,170417,4
1,circuit road (block 37),1.3283032,103.8870762,2,1,2,170417,4
1,bedok north avenue 2 (block 408),1.3286033,103.9326509,3,1,2,170417,4
1,bedok north avenue 2 (block 411),1.328376,103.9315353,3,1,2,170417,4
2,stirling road (block 45),1.2974886,103.8030384,4,1,2,170417,4
2,woodlands avenue 1 (block 331),1.42946,103.778521,5,2,2,170417,4
2,bedok north street 3 (block 530),1.3338021,103.9269348,1,1,9,170424,4
1,bedok north street 3 (block 533),1.333639,103.924036,1,1,9,170424,4
4,bedok north street 3 (block 534),1.3331379,103.9246468,1,1,9,170424,4
2,bedok north street 3 (block 556),1.3326072,103.9226175,1,1,9,170424,4
1,ang mo kio avenue 10 (block 553),1.3724909,103.857264,2,4,4,170424,4
1,ang mo kio avenue 10 (block 556),1.3720459,103.8577221,2,4,4,170424,4
1,ang mo kio avenue 10 (block 557),1.3716063,103.8577221,2,4,4,170424,4
1,ang mo kio avenue 10 (block 560),1.3707919,103.8591716,2,4,4,170424,4
3,woodlands avenue 1 (block 331),1.42946,103.778521,3,2,3,170424,4
1,yishun street 11 (block 133),1.432608,103.830682,4,1,2,170424,4
1,yishun street 11 (block 135),1.4323189,103.83174,4,1,2,170424,4
1,ang mo kio avenue 3 (block 565),1.3695507,103.8584469,1,1,5,170502,5
1,ang mo kio avenue 10 (block 553),1.3724909,103.857264,1,1,5,170502,5
1,ang mo kio avenue 10 (block 556),1.3720459,103.8577221,1,1,5,170502,5
1,ang mo kio avenue 10 (block 557),1.3716063,103.8577221,1,1,5,170502,5
1,ang mo kio avenue 10 (block 560),1.3707919,103.8591716,1,1,5,170502,5
3,woodlands avenue 1 (block 331),1.42946,103.778521,2,1,3,170502,5
1,woodlands drive 50 (block 897a),1.436478,103.7940791,3,2,2,170502,5
1,woodlands drive 50 (block 899a),1.435798,103.794948,3,2,2,170502,5
1,choa chu kang north 6 (block 791),1.3954446,103.7500061,1,1,3,170508,5
2,choa chu kang north 6 (yew mei green),1.394831,103.751721,1,1,3,170508,5
1,ang mo kio avenue 10 (block 544),1.373805,103.85637,1,2,3,170515,5
1,ang mo kio avenue 10 (block 552),1.3723276,103.8567445,1,2,3,170515,5
1,ang mo kio avenue 10 (block 554),1.372797,103.8577995,1,2,3,170515,5
3,bedok north street 3 (block 530),1.3338021,103.9269348,2,2,3,170515,5
1,chai chee street (block 43),1.3283802,103.9255,3,2,3,170515,5
2,chai chee street (block 45),1.3288058,103.9243769,3,2,3,170515,5
2,kang ching road (block 339d),1.3389521,103.7222402,4,2,2,170515,5
1,lorong 4 toa payoh (block 60),1.33647,103.850664,5,2,2,170515,5
1,lorong 4 toa payoh (block 80a),1.335346,103.849147,5,2,2,170515,5
1,chai chee street (block 43),1.3283802,103.9255,1,3,7,170522,5
6,chai chee street (block 45),1.3288058,103.9243769,1,3,7,170522,5
3,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,2,3,170522,5
1,bukit batok central link (the jade),1.348958,103.748761,3,1,2,170522,5
1,bukit batok street 21 (block 203),1.3476972,103.7492367,3,1,2,170522,5
2,kang ching road (block 339d),1.3389521,103.7222402,4,1,2,170522,5
1,lorong 4 toa payoh (block 60),1.33647,103.850664,5,1,2,170522,5
1,lorong 4 toa payoh (block 80a),1.335346,103.849147,5,1,2,170522,5
1,marsiling crescent (block 213),1.4466991,103.7738529,6,2,2,170522,5
1,marsiling lane (block 215),1.447721,103.7719474,6,2,2,170522,5
2,teban gardens road (block 35),1.3196158,103.7424479,7,2,2,170522,5
1,chai chee road (block 808c),1.327065,103.9238549,1,8,11,170529,5
1,chai chee street (block 43),1.3283802,103.9255,1,8,11,170529,5
9,chai chee street (block 45),1.3288058,103.9243769,1,8,11,170529,5
4,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,1,4,170529,5
1,teban gardens road (block 33),1.320352,103.7417238,3,2,4,170529,5
2,teban gardens road (block 35),1.3196158,103.7424479,3,2,4,170529,5
1,teban gardens road (block 40),1.3213753,103.7419953,3,2,4,170529,5
2,nassim road,1.3116497,103.8218951,4,1,2,170529,5
1,woodlands drive 14 (block 512),1.4345675,103.7887906,5,1,2,170529,5
1,woodlands drive 14 (block 515),1.4349314,103.7903092,5,1,2,170529,5
1,yishun street 71 (block 727),1.4262746,103.830956,6,1,2,170529,5
1,yishun street 71 (block 728),1.425847,103.830651,6,1,2,170529,5
1,chai chee road (block 808c),1.327065,103.9238549,1,3,14,170605,6
1,chai chee street (block 43),1.3283802,103.9255,1,3,14,170605,6
12,chai chee street (block 45),1.3288058,103.9243769,1,3,14,170605,6
1,teban gardens road (block 31),1.3203421,103.7389185,2,10,14,170605,6
2,teban gardens road (block 33),1.320352,103.7417238,2,10,14,170605,6
2,teban gardens road (block 34),1.319894,103.7417917,2,10,14,170605,6
3,teban gardens road (block 35),1.3196158,103.7424479,2,10,14,170605,6
4,teban gardens road (block 36),1.3199803,103.7427194,2,10,14,170605,6
1,teban gardens road (block 40),1.3213753,103.7419953,2,10,14,170605,6
1,teban gardens road (block 46),1.320203,103.7404812,2,10,14,170605,6
4,choa chu kang north 6 (yew mei green),1.394831,103.751721,3,3,4,170605,6
2,kang ching road (block 333),1.3395137,103.7232828,4,4,4,170605,6
1,kang ching road (block 339c),1.3385746,103.7217404,4,4,4,170605,6
1,kang ching road (block 339d),1.3389521,103.7222402,4,4,4,170605,6
1,tampines street 21 (block 262),1.353784,103.950901,5,2,2,170605,6
1,tampines street 21 (block 265),1.3523923,103.950152,5,2,2,170605,6
2,wallich street,1.2769466,103.8462688,6,1,2,170605,6
1,woodlands street 31 (block 311),1.4304654,103.7761235,7,1,2,170605,6
1,woodlands street 31 (block 314),1.4311395,103.7759935,7,1,2,170605,6
1,yishun street 71 (block 727),1.4262746,103.830956,8,1,2,170605,6
1,yishun street 71 (block 728),1.425847,103.830651,8,1,2,170605,6
1,teban gardens road (block 31),1.3203421,103.7389185,1,7,18,170612,6
2,teban gardens road (block 33),1.320352,103.7417238,1,7,18,170612,6
1,teban gardens road (block 34),1.319894,103.7417917,1,7,18,170612,6
4,teban gardens road (block 35),1.3196158,103.7424479,1,7,18,170612,6
7,teban gardens road (block 36),1.3199803,103.7427194,1,7,18,170612,6
1,teban gardens road (block 40),1.3213753,103.7419953,1,7,18,170612,6
1,teban gardens road (block 44),1.3208104,103.7415654,1,7,18,170612,6
1,teban gardens road (block 46),1.320203,103.7404812,1,7,18,170612,6
5,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,2,5,170612,6
2,kang ching road (block 333),1.3395137,103.7232828,3,3,5,170612,6
1,kang ching road (block 335),1.3391483,103.7231471,3,3,5,170612,6
1,kang ching road (block 339c),1.3385746,103.7217404,3,3,5,170612,6
1,kang ching road (block 339d),1.3389521,103.7222402,3,3,5,170612,6
1,desker road,1.3089894,103.8553812,4,1,2,170612,6
1,veerasamy road (block 637),1.3069731,103.8556308,4,1,2,170612,6
1,hougang avenue 8 (block 504),1.3734902,103.8880178,5,1,2,170612,6
1,hougang avenue 10 (block 516),1.3727185,103.8890361,5,1,2,170612,6
2,lorong 4 toa payoh (block 62b),1.3358844,103.851293,6,1,2,170612,6
1,lorong 4 toa payoh (block 82b),1.335593,103.848742,7,1,2,170612,6
1,lorong 4 toa payoh (block 85),1.3363581,103.8484195,7,1,2,170612,6
2,zehnder road,1.2833222,103.7860358,8,1,2,170612,6
8,bayshore road (bayshore park),1.311532,103.93723,1,7,8,170619,6
6,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,2,7,170619,6
1,choa chu kang street 54 (block 769),1.394214,103.750451,2,2,7,170619,6
2,kang ching road (block 333),1.3395137,103.7232828,3,2,7,170619,6
1,kang ching road (block 335),1.3391483,103.7231471,3,2,7,170619,6
2,kang ching road (block 339c),1.3385746,103.7217404,3,2,7,170619,6
1,kang ching road (block 339d),1.3389521,103.7222402,3,2,7,170619,6
1,kang ching road (block 346),1.340296,103.720809,3,2,7,170619,6
2,hougang avenue 8 (block 504),1.3734902,103.8880178,4,3,4,170619,6
1,hougang avenue 10 (block 516),1.3727185,103.8890361,4,3,4,170619,6
1,hougang avenue 10 (block 517),1.3728096,103.8896142,4,3,4,170619,6
4,mount vernon road (bartley ridge),1.3409113,103.8811344,5,3,4,170619,6
1,tampines street 42 (block 444),1.3583112,103.9513355,6,1,2,170619,6
1,tampines street 43 (block 436),1.3596274,103.9516074,6,1,2,170619,6
10,bayshore road (bayshore park),1.311532,103.93723,1,4,13,170628,6
1,jalan pokok serunai,1.3144502,103.9363562,1,4,13,170628,6
1,upper east coast road (breeze by the east),1.313728,103.937804,1,4,13,170628,6
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,4,13,170628,6
2,kang ching road (block 333),1.3395137,103.7232828,2,4,9,170628,6
1,kang ching road (block 335),1.3391483,103.7231471,2,4,9,170628,6
1,kang ching road (block 338b),1.3382623,103.7219443,2,4,9,170628,6
3,kang ching road (block 339c),1.3385746,103.7217404,2,4,9,170628,6
1,kang ching road (block 339d),1.3389521,103.7222402,2,4,9,170628,6
1,kang ching road (block 346),1.340296,103.720809,2,4,9,170628,6
7,choa chu kang north 6 (yew mei green),1.394831,103.751721,3,2,8,170628,6
1,choa chu kang street 54 (block 769),1.394214,103.750451,3,2,8,170628,6
1,hougang avenue 8,1.3747669,103.8883308,4,4,8,170628,6
2,hougang avenue 8 (block 503),1.3736341,103.8875986,4,4,8,170628,6
2,hougang avenue 8 (block 504),1.3734902,103.8880178,4,4,8,170628,6
2,hougang avenue 10 (block 516),1.3727185,103.8890361,4,4,8,170628,6
1,hougang avenue 10 (block 517),1.3728096,103.8896142,4,4,8,170628,6
1,woodgrove view,1.4279585,103.7757481,5,2,4,170628,6
1,woodlands street 41 (block 419),1.4285115,103.774607,5,2,4,170628,6
1,woodlands street 41 (block 425),1.4271033,103.7738601,5,2,4,170628,6
1,woodlands street 41 (block 426),1.4273268,103.7733169,5,2,4,170628,6
2,lorong how sun (bartley residences),1.3432575,103.8814318,6,3,3,170628,6
1,quemoy road,1.3446603,103.8814145,6,3,3,170628,6
1,tah ching road (block 322),1.3369975,103.7246177,7,3,3,170628,6
2,yuan ching road (lakeside tower),1.337306,103.7255015,7,3,3,170628,6
1,brighton crescent,1.3621659,103.870411,8,2,2,170628,6
1,chuan garden,1.3630476,103.8683186,8,2,2,170628,6
1,dakota cresent (block 58),1.3073722,103.8895235,9,1,2,170628,6
1,old airport road (block 99),1.308567,103.887961,9,1,2,170628,6
1,jurong west street 42 (block 452),1.3516163,103.7183222,10,2,2,170628,6
1,jurong west street 42 (block 553),1.3532181,103.7190328,10,2,2,170628,6
1,lorong 4 toa payoh (block 82a),1.335969,103.848814,11,2,2,170628,6
1,lorong 4 toa payoh (block 82b),1.335593,103.848742,11,2,2,170628,6
1,tampines street 71 (block 705),1.3572962,103.9371942,12,2,2,170628,6
1,tampines street 71 (block 711),1.3585414,103.9371036,12,2,2,170628,6
11,bayshore road (bayshore park),1.311532,103.93723,1,2,14,170703,7
1,jalan pokok serunai,1.3144502,103.9363562,1,2,14,170703,7
1,upper east coast road (breeze by the east),1.313728,103.937804,1,2,14,170703,7
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,2,14,170703,7
7,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,3,9,170703,7
2,choa chu kang street 54 (block 769),1.394214,103.750451,2,3,9,170703,7
2,kang ching road (block 333),1.3395137,103.7232828,3,2,9,170703,7
1,kang ching road (block 335),1.3391483,103.7231471,3,2,9,170703,7
1,kang ching road (block 338b),1.3382623,103.7219443,3,2,9,170703,7
3,kang ching road (block 339c),1.3385746,103.7217404,3,2,9,170703,7
1,kang ching road (block 339d),1.3389521,103.7222402,3,2,9,170703,7
1,kang ching road (block 346),1.340296,103.720809,3,2,9,170703,7
1,woodgrove view,1.4279585,103.7757481,4,3,5,170703,7
1,woodlands street 41 (block 419),1.4285115,103.774607,4,3,5,170703,7
1,woodlands street 41 (block 425),1.4271033,103.7738601,4,3,5,170703,7
2,woodlands street 41 (block 426),1.4273268,103.7733169,4,3,5,170703,7
2,lorong how sun (bartley residences),1.3432575,103.8814318,5,2,3,170703,7
1,quemoy road,1.3446603,103.8814145,5,2,3,170703,7
3,mount vernon road (bartley ridge),1.3409113,103.8811344,6,1,3,170703,7
1,tah ching road (block 322),1.3369975,103.7246177,7,2,3,170703,7
2,yuan ching road (lakeside tower),1.337306,103.7255015,7,2,3,170703,7
1,bedok reservoir road (block 103),1.328835,103.9091399,8,1,2,170703,7
1,bedok reservoir road (block 110),1.330146,103.910393,8,1,2,170703,7
1,brighton crescent,1.3621659,103.870411,9,2,2,170703,7
1,chuan garden,1.3630476,103.8683186,9,2,2,170703,7
1,bukit merah view (block 116),1.2851553,103.8213997,10,2,2,170703,7
1,bukit merah view (block 119),1.283535,103.820854,10,2,2,170703,7
1,ceylon road (leville isuites),1.305919,103.902587,11,1,2,170703,7
1,onan road (malvern springs),1.305996,103.903835,11,1,2,170703,7
1,dakota cresent (block 58),1.3073722,103.8895235,12,1,2,170703,7
1,old airport road (block 99),1.308567,103.887961,12,1,2,170703,7
1,jurong west street 42 (block 452),1.3516163,103.7183222,13,1,2,170703,7
1,jurong west street 42 (block 553),1.3532181,103.7190328,13,1,2,170703,7
2,kian teck avenue,1.3306239,103.6934654,14,2,2,170703,7
1,leicester road (one leicester),1.3297705,103.8676521,15,2,2,170703,7
1,meyappa chettiar road (apartment 8),1.3308379,103.8672346,15,2,2,170703,7
13,bayshore road (bayshore park),1.311532,103.93723,1,4,18,170710,7
2,bayshore road (costa del sol),1.311579,103.939123,1,4,18,170710,7
1,jalan pokok serunai,1.3144502,103.9363562,1,4,18,170710,7
1,upper east coast road (breeze by the east),1.313728,103.937804,1,4,18,170710,7
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,4,18,170710,7
8,choa chu kang north 6 (yew mei green),1.394831,103.751721,2,1,11,170710,7
3,choa chu kang street 54 (block 769),1.394214,103.750451,2,1,11,170710,7
1,woodgrove view,1.4279585,103.7757481,3,1,6,170710,7
1,woodlands avenue 1 (block 307),1.4294363,103.7763951,3,1,6,170710,7
1,woodlands street 41 (block 419),1.4285115,103.774607,3,1,6,170710,7
1,woodlands street 41 (block 425),1.4271033,103.7738601,3,1,6,170710,7
2,woodlands street 41 (block 426),1.4273268,103.7733169,3,1,6,170710,7
3,pasir panjang road,1.2808603,103.7849579,4,2,3,170710,7
1,pasir ris street 53 (block 577),1.373215,103.947266,5,1,3,170710,7
1,pasir ris street 53 (block 581),1.3749804,103.9465083,5,1,3,170710,7
1,pasir ris street 53 (block 585),1.3756158,103.9474374,5,1,3,170710,7
1,woodlands street 81 (block 827),1.4399441,103.7891539,6,2,3,170710,7
2,woodlands street 83 (block 832),1.4397271,103.7907709,6,2,3,170710,7
2,chuan view,1.3618889,103.8668651,7,1,2,170710,7
1,simei street 1 (block 101),1.34101,103.95148,8,2,2,170710,7
1,simei street 3,1.3416431,103.9528772,8,2,2,170710,7
13,bayshore road (bayshore park),1.311532,103.93723,1,6,24,170717,7
5,bayshore road (costa del sol),1.311579,103.939123,1,6,24,170717,7
3,bayshore road (the bayshore),1.31245,103.938021,1,6,24,170717,7
1,jalan pokok serunai,1.3144502,103.9363562,1,6,24,170717,7
1,upper east coast road (breeze by the east),1.313728,103.937804,1,6,24,170717,7
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,6,24,170717,7
1,hougang avenue 8 (block 624),1.370293,103.882176,2,6,6,170717,7
1,hougang avenue 8 (block 626),1.3698301,103.8818106,2,6,6,170717,7
4,hougang avenue 8 (block 678),1.3709116,103.8840502,2,6,6,170717,7
4,pasir panjang road,1.2808603,103.7849579,3,2,4,170717,7
1,bedok reservoir road (block 642),1.331306,103.905512,4,1,2,170717,7
1,jalan tenaga (block 649),1.332623,103.906205,4,1,2,170717,7
2,jurong east avenue 1 (parc oasis),1.3435839,103.7339434,5,1,2,170717,7
2,jurong west street 42 (block 452),1.3516163,103.7183222,6,1,2,170717,7
15,bayshore road (bayshore park),1.311532,103.93723,1,3,27,170724,7
5,bayshore road (costa del sol),1.311579,103.939123,1,3,27,170724,7
4,bayshore road (the bayshore),1.31245,103.938021,1,3,27,170724,7
1,jalan pokok serunai,1.3144502,103.9363562,1,3,27,170724,7
1,upper east coast road (breeze by the east),1.313728,103.937804,1,3,27,170724,7
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,3,27,170724,7
1,hougang avenue 8 (block 624),1.370293,103.882176,2,2,6,170724,7
1,hougang avenue 8 (block 626),1.3698301,103.8818106,2,2,6,170724,7
4,hougang avenue 8 (block 678),1.3709116,103.8840502,2,2,6,170724,7
1,hougang avenue 8 (block 506),1.3728322,103.8875854,3,2,3,170724,7
1,hougang avenue 8 (block 507),1.3725038,103.8873743,3,2,3,170724,7
1,hougang avenue 10 (block 514),1.3721518,103.8892256,3,2,3,170724,7
1,bukit batok east avenue 4 (block 257),1.35118,103.757817,4,2,2,170724,7
1,bukit batok east avenue 5 (block 250),1.3510145,103.7569391,4,2,2,170724,7
1,choa chu kang central (block 206),1.380719,103.748232,5,2,2,170724,7
1,teck whye lane (block 123),1.3792803,103.7494177,5,2,2,170724,7
1,hougang avenue 2 (block 703),1.3655591,103.8894329,6,2,2,170724,7
1,hougang avenue 2 (block 710),1.3666698,103.8880462,6,2,2,170724,7
1,woodlands drive 14 (block 511),1.4336254,103.7884995,7,1,2,170724,7
1,woodlands drive 14 (block 512),1.4345675,103.7887906,7,1,2,170724,7
15,bayshore road (bayshore park),1.311532,103.93723,1,1,28,170731,7
5,bayshore road (costa del sol),1.311579,103.939123,1,1,28,170731,7
5,bayshore road (the bayshore),1.31245,103.938021,1,1,28,170731,7
1,jalan pokok serunai,1.3144502,103.9363562,1,1,28,170731,7
1,upper east coast road (breeze by the east),1.313728,103.937804,1,1,28,170731,7
1,upper east coast road (the tropic gardens),1.3139071,103.9380875,1,1,28,170731,7
4,serangoon garden drive,1.3644705,103.8604504,2,4,4,170731,7
1,hougang avenue 8 (block 506),1.3728322,103.8875854,3,1,3,170731,7
1,hougang avenue 8 (block 507),1.3725038,103.8873743,3,1,3,170731,7
1,hougang avenue 10 (block 514),1.3721518,103.8892256,3,1,3,170731,7
3,serangoon central drive (block 257),1.355122,103.871894,4,3,3,170731,7
2,ang mo kio avenue 10 (block 578),1.3718197,103.8549348,5,2,2,170731,7
1,edgedale plains (block 126c),1.393997,103.9106879,6,1,2,170731,7
1,edgedale plains (block 126d),1.393712,103.911087,6,1,2,170731,7
1,havelock road (havest mansions),1.2896672,103.8319055,7,2,2,170731,7
1,indus road (emerald park),1.2896193,103.8300787,7,2,2,170731,7
1,hougang avenue 2 (block 703),1.3655591,103.8894329,8,1,2,170731,7
1,hougang avenue 2 (block 710),1.3666698,103.8880462,8,1,2,170731,7
2,berwick drive,1.3637502,103.8608487,1,9,14,170810,8
1,bloxhome drive,1.3622839,103.8627547,1,9,14,170810,8
1,bodmin drive,1.3619272,103.8623522,1,9,14,170810,8
1,borthwick drive,1.3614257,103.8620315,1,9,14,170810,8
1,serangoon garden close,1.363684,103.860115,1,9,14,170810,8
4,serangoon garden drive,1.3644705,103.8604504,1,9,14,170810,8
2,serangoon garden place,1.3639624,103.8602086,1,9,14,170810,8
2,serangoon garden rise,1.3649753,103.8606604,1,9,14,170810,8
1,hougang avenue 8 (block 501),1.3722463,103.8867728,2,3,6,170810,8
1,hougang avenue 8 (block 503),1.3736341,103.8875986,2,3,6,170810,8
1,hougang avenue 8 (block 506),1.3728322,103.8875854,2,3,6,170810,8
1,hougang avenue 8 (block 507),1.3725038,103.8873743,2,3,6,170810,8
1,hougang avenue 10 (block 512),1.3714017,103.8888054,2,3,6,170810,8
1,hougang avenue 10 (block 514),1.3721518,103.8892256,2,3,6,170810,8
